"","prize","prizeLabel","person","personLabel","pic","sexlabel","countrylabel","birth","death"
"215","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q5347589","Efraín Barquero","","masculino","Chile","",""
"216","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5406049","Diego Doncel","","masculino","España","",""
"217","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5406049","Diego Doncel","","masculino","España","",""
"218","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5413445","Joaquín Caro Romero","","masculino","España","",""
"219","http://www.wikidata.org/entity/Q3320346","Premio Nacional de Narrativa","http://www.wikidata.org/entity/Q5444600","Fernando Aramburu","","masculino","España","",""
"220","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q5475106","Juana Castro Muñoz","","femenino","España","",""
"221","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5488307","José Carol Archs","","masculino","España","",""
"222","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5490387","Lorenzo Gomis","","masculino","España","",""
"223","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5507856","Fulgencio Argüelles","","masculino","España","",""
"224","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q5575940","José Luis Olaizola","","masculino","España","",""
"225","http://www.wikidata.org/entity/Q3405924","Premio Internacional Alfonso Reyes","http://www.wikidata.org/entity/Q5621807","Gutierre Tibón","","masculino","México","",""
"226","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5644317","Pedro Maestre Herrero","","masculino","España","",""
"227","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q5645036","Antonio Orlando Rodríguez","","masculino","Cuba","",""
"228","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q5654669","Alfonso Grosso","","masculino","España","",""
"229","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5663148","Javier de Bengoechea","","masculino","España","",""
"230","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5665090","Alejandro Gándara","","masculino","España","",""
"231","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5666993","Alfonso Martínez Garrido","","masculino","España","",""
"232","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5667021","Alfonso Moreno","","masculino","España","",""
"233","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5668020","José María Requena","","masculino","España","",""
"234","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5668055","Alfredo Taján","","masculino","España","",""
"235","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5672875","María Elvira Lacaci","","femenino","España","",""
"236","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q5675522","Lorenzo Oliván","","masculino","España","",""
"237","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5721799","Basilio Sánchez","","masculino","España","",""
"238","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5752545","Carmen Gómez Ojea","","femenino","España","",""
"239","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q5803058","Héctor Vázquez-Azpiri","","masculino","España","",""
"240","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5806267","Diego Jesús Jiménez","","masculino","España","",""
"241","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5829939","Eloy Sánchez Rosillo","","masculino","España","",""
"242","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q5830277","Ema Wolf","","femenino","Argentina","",""
"243","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5849112","Esteban Navarro","","masculino","España","",""
"244","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q39803","Mario Vargas Llosa","","masculino","Perú","",""
"245","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q39803","Mario Vargas Llosa","","masculino","Perú","",""
"246","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5850627","Eugenio García de Nora","","masculino","España","",""
"247","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5852292","Eusebio García Luengo","","masculino","España","",""
"248","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5858106","Felipe Benítez Reyes","","masculino","España","",""
"249","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5865827","Francisco García Pavón","","masculino","España","",""
"250","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5866377","Francisco José Alcántara","","masculino","España","",""
"251","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5867455","Francisco Serradilla","","masculino","España","",""
"252","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5878838","Germán Sánchez Espeso","","masculino","España","",""
"253","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5913142","Ignacio Carrión","","masculino","España","",""
"254","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5928291","Javier Vela","","masculino","España","",""
"255","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5930119","Jesús Bernal","","masculino","España","",""
"256","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5930221","Jesús Hilario Tundidor","","masculino","España","",""
"257","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5931764","Joaquín Benito de Lucas","","masculino","España","",""
