"","item","itemLabel","coord","lon","lat"
"54","http://www.wikidata.org/entity/Q5759538","Cañada de Agra","Point(-1.696944444 38.467222222)",-1.6969444444444,38.467222222222
"55","http://www.wikidata.org/entity/Q8343229","Cañada Fuente del Pavo","Point(-0.66277778 39.36638889)",-0.66277778,39.36638889
"56","http://www.wikidata.org/entity/Q16466470","Baños de Santiago","Point(-2.944166666 37.005)",-2.9441666666667,37.005
"57","http://www.wikidata.org/entity/Q11755960","Villavieja de Muñó","Point(-3.892913055 42.259663888)",-3.8929130555556,42.259663888889
"58","http://www.wikidata.org/entity/Q22827906","La Almunia de Doña Godina","Point(-1.37451 41.4767)",-1.37451,41.4767
"59","http://www.wikidata.org/entity/Q24016794","Orduña","Point(-3.00974 42.99435)",-3.00974,42.99435
"60","http://www.wikidata.org/entity/Q24013908","Noreña","Point(-5.70662 43.39364)",-5.70662,43.39364
"61","http://www.wikidata.org/entity/Q43640591","Sopeñano","Point(-3.3409073 43.0776526)",-3.3409073,43.0776526
"62","http://www.wikidata.org/entity/Q42941207","Villaño","Point(-3.125796 42.9674272)",-3.125796,42.9674272
"63","http://www.wikidata.org/entity/Q43639045","Antuñano","Point(-3.1940088 43.1629416)",-3.1940088,43.1629416
"64","http://www.wikidata.org/entity/Q8757","La Coruña","Point(-8.3833 43.3667)",-8.3833333333333,43.366666666667
"65","http://www.wikidata.org/entity/Q1442670","La Bañeza","Point(-5.9017 42.2975)",-5.9016666666667,42.2975
"66","http://www.wikidata.org/entity/Q1836499","Añorga","Point(-2.0 43.285891)",-2,43.285891
"67","http://www.wikidata.org/entity/Q2521757","Malasaña","Point(-3.7039 40.4251)",-3.7039,40.4251
"68","http://www.wikidata.org/entity/Q2822128","La Peña (Bilbao)","Point(-2.919167 43.239722)",-2.919167,43.239722
"69","http://www.wikidata.org/entity/Q2899165","Ermitagaña","Point(-1.66409 42.81084)",-1.66409,42.81084
"70","http://www.wikidata.org/entity/Q2899165","Ermitagaña","Point(-1.66472222 42.81055556)",-1.66472222,42.81055556
"71","http://www.wikidata.org/entity/Q2944641","Azpilagaña","Point(-1.64583333 42.80333333)",-1.64583333,42.80333333
"72","http://www.wikidata.org/entity/Q3813836","Barrio de Begoña","Point(-2.9139 43.2586)",-2.91388889,43.25861111
"73","http://www.wikidata.org/entity/Q3813837","Iturrigorri-El Peñascal","Point(-2.94916667 43.24305556)",-2.94916667,43.24305556
"74","http://www.wikidata.org/entity/Q3813672","Castaños","Point(-2.9269 43.2689)",-2.92694444,43.26888889
"75","http://www.wikidata.org/entity/Q5015234","Cabañal-Cañamelar","Point(-0.332778 39.4689)",-0.332778,39.4689
"76","http://www.wikidata.org/entity/Q5720422","Barrio España","Point(-4.7125 41.6686)",-4.7125,41.66861111
"77","http://www.wikidata.org/entity/Q6073990","Peñamefécit","Point(-3.798888888 37.779722222)",-3.7988888888889,37.779722222222
"78","http://www.wikidata.org/entity/Q2902623","Vicuña","Point(-2.3289 42.847)",-2.3289,42.847
"79","http://www.wikidata.org/entity/Q3532461","Torrebeleña","Point(-3.156917 40.900571)",-3.156917,40.900571
"80","http://www.wikidata.org/entity/Q3532461","Torrebeleña","Point(-3.156408333 40.900330555)",-3.1564083333333,40.900330555556
"81","http://www.wikidata.org/entity/Q40708","Villaviciosa de Tajuña","Point(-2.83639 40.7864)",-2.83639,40.7864
"82","http://www.wikidata.org/entity/Q604304","Betoño","Point(-2.655556 42.862222)",-2.655556,42.862222
"83","http://www.wikidata.org/entity/Q3949047","Santa Liña","Point(0.801113 41.928077)",0.801113,41.928077
"84","http://www.wikidata.org/entity/Q4274328","San Juan de Viñafrescal","Point(0.95977222 42.22866111)",0.95977222,42.22866111
"85","http://www.wikidata.org/entity/Q5962808","La Cañada","Point(-4.498258333 40.59875)",-4.4982583333333,40.59875
"86","http://www.wikidata.org/entity/Q5965425","La Uña","Point(-5.1375 43.063888888)",-5.1375,43.063888888889
"87","http://www.wikidata.org/entity/Q993966","Matalascañas","Point(-6.5433 36.9933)",-6.5433333333333,36.993333333333
"88","http://www.wikidata.org/entity/Q2131577","O Rapote, Broño, Negreira","Point(-8.7973187 42.9280777)",-8.7973187,42.9280777
"89","http://www.wikidata.org/entity/Q5655111","Abioncillo de Calatañazor","Point(-2.866666666 41.703055555)",-2.8666666666667,41.703055555556
"90","http://www.wikidata.org/entity/Q5715383","Añaza","Point(-16.29944444 28.42361111)",-16.29944444,28.42361111
"91","http://www.wikidata.org/entity/Q5716995","Balada (España)","Point(0.6797 40.7133)",0.67971111,40.71328333
"92","http://www.wikidata.org/entity/Q5676626","La Torresaviñán","Point(-2.59 40.9833)",-2.59,40.9833
"93","http://www.wikidata.org/entity/Q5738977","Cadiñanos","Point(-3.350283 42.8303536)",-3.350283,42.8303536
"94","http://www.wikidata.org/entity/Q5557488","La Cañada de Mira","Point(-1.455277777 39.656666666)",-1.4552777777778,39.656666666667
"95","http://www.wikidata.org/entity/Q5820822","El Almiñé","Point(-3.596944444 42.831111111)",-3.5969444444444,42.831111111111
"96","http://www.wikidata.org/entity/Q9018185","Arañó","Point(1.2186 41.7057)",1.2186,41.7057
"97","http://www.wikidata.org/entity/Q5759594","Cañicera","Point(-3.106388888 41.340277777)",-3.1063888888889,41.340277777778
"98","http://www.wikidata.org/entity/Q5771005","Ciñera","Point(-5.638055555 42.885277777)",-5.6380555555556,42.885277777778
"99","http://www.wikidata.org/entity/Q6019820","Miñón de Santibáñez","Point(-3.7975 42.464166666)",-3.7975,42.464166666667
"100","http://www.wikidata.org/entity/Q6034960","Muñochas","Point(-4.870833333 40.616666666)",-4.8708333333333,40.616666666667
"101","http://www.wikidata.org/entity/Q6065456","Pascual Muñoz","Point(-5.05358883 40.575499)",-5.05358883,40.575499
"102","http://www.wikidata.org/entity/Q6073959","Peñalba de Castro","Point(-3.366952777 41.788497222)",-3.3669527777778,41.788497222222
"103","http://www.wikidata.org/entity/Q6073968","Peñalba de la Sierra","Point(-3.389722222 41.144444444)",-3.3897222222222,41.144444444444
"104","http://www.wikidata.org/entity/Q6098781","Ramacastañas","Point(-5.046666666 40.185277777)",-5.0466666666667,40.185277777778
"105","http://www.wikidata.org/entity/Q6151871","Traspeña de la Peña","Point(-4.603333333 42.817777777)",-4.6033333333333,42.817777777778
"106","http://www.wikidata.org/entity/Q6158689","Valdecañas de Cerrato","Point(-4.186388888 41.9925)",-4.1863888888889,41.9925
"107","http://www.wikidata.org/entity/Q9047420","Muñez","Point(-4.99784 40.6095)",-4.99784,40.6095
"108","http://www.wikidata.org/entity/Q9062590","Preñanosa","Point(1.28948 41.7118)",1.28948,41.7118
"109","http://www.wikidata.org/entity/Q6160590","Vergaño","Point(-4.428888888 42.900555555)",-4.4288888888889,42.900555555556
"110","http://www.wikidata.org/entity/Q6117202","Saldaña de Ayllón","Point(-3.423355555 41.385986111)",-3.4233555555556,41.385986111111
"111","http://www.wikidata.org/entity/Q6118919","San Isidro de Dueñas","Point(-4.516666666 41.898333333)",-4.5166666666667,41.898333333333
"112","http://www.wikidata.org/entity/Q6121292","Santibáñez de Ayllón","Point(-3.280622222 41.335819444)",-3.2806222222222,41.335819444444
"113","http://www.wikidata.org/entity/Q10964238","Castellar de la Montaña","Point(2.501 42.2375)",2.50098056,42.23748889
